Actual,LR_Predicted,DTC_Predicted,RFC_Predicted,XGBC_Predicted,KNC_Predicted,SVC_Predict
0,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,1,1,1,1
1,1,0,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,1,1,0,1,1
1,1,0,1,1,1,1
1,1,1,1,1,0,1
0,1,1,1,1,1,1
0,1,1,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,1,1,0,1
1,1,1,1,1,1,1
0,0,1,0,0,0,0
1,1,0,1,1,1,1
0,0,0,0,0,0,0
0,1,0,0,0,0,1
0,0,0,0,0,0,0
0,1,0,1,0,0,0
1,1,0,1,0,1,1
0,1,0,1,1,0,1
0,0,0,0,0,0,0
0,1,1,1,1,0,1
0,0,1,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,1,0,1
1,0,1,1,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,0,1
0,1,1,0,0,0,1
0,1,0,0,1,0,1
0,1,1,1,1,1,1
0,0,1,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,1,0,0,0,0
1,1,0,0,0,1,1
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
1,1,0,1,1,0,1
0,0,1,0,0,0,0
0,1,1,1,1,1,1
